Id,Label,timeset,d1,d0,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
Liga Ventures,Liga Ventures,,2.2,Habilitador,1,2,3,7,0.242038,0.305639,135.566667,0,0.333333,0.2185,2,9,11
Sebrae SP,Sebrae SP,,9.6,Habilitador,7,5,12,5,0.361905,0.423904,1388.833333,2,0.075758,0.438246,27,17,44
Techno Park,Techno Park,,0.6,Habilitador,1,7,8,7,0.294574,0.382519,157.12619,1,0.166667,0.081304,1,24,25
CCTI Desenvolvimento Econômico SP,CCTI Desenvolvimento Econômico SP,,6.4,Articulador,10,9,19,7,0.269504,0.361905,963.609524,2,0.055556,0.485377,33,27,60
UNISO,UNISO,,0.8,Habilitador,2,0,2,0,0,0,0,3,0.5,0.022416,5,0,5
Instituto Butantan,Instituto Butantan,,0.6,Generador de Conocimiento,2,5,7,1,1,1,6.45,2,0.119048,0.207091,8,22,30
Cubo,Cubo,,5.2,Habilitador,8,1,9,7,0.227545,0.271209,340.461905,0,0.097222,0.963057,21,5,26
CIETEC,CIETEC,,1.8,Habilitador,3,9,12,6,0.302789,0.389474,224.5,2,0.083333,0.08979,10,40,50
FIESP,FIESP,,1.4,Vinculador,1,1,2,7,0.234756,0.27214,15,2,0,0.003106,3,4,7
Estação Hack,Estação Hack,,1.2,Habilitador,1,1,2,7,0.227545,0.271209,0,0,1,0.2185,3,3,6
Artemisia,Artemisia,,1.2,Habilitador,2,0,2,0,0,0,0,4,0,0.049667,6,0,6
Parquetecsorocaba,Parquetecsorocaba,,0.6,Habilitador,2,8,10,8,0.2,0.284649,325.75,3,0.069444,0.031653,6,24,30
Prefeitura de Sorocaba,Prefeitura de Sorocaba,,2.6,Articulador,2,1,3,9,0.167033,0.206292,223.75,4,0,0.065871,8,5,13
Desenvolve SP,Desenvolve SP,,1.4,Habilitador,1,1,2,8,0.215909,0.257362,10.333333,2,0,0.015686,5,2,7
Campinas Tech,Campinas Tech,,1.2,Vinculador,1,1,2,9,0.211699,0.252543,0,1,1,0.08934,3,3,6
FFCi,FFCi,,2.6,Vinculador,2,0,2,0,0,0,0,1,1,0.170645,10,0,10
BrazilLAB,BrazilLAB,,1,Habilitador,1,9,10,6,0.281481,0.371053,495.5,4,0.022222,0.150559,2,27,29
Kyvo Design,Kyvo Design,,1.6,Habilitador,3,4,7,7,0.248366,0.317043,563.542857,0,0.133333,0.495069,9,13,22
Grão Investimentos,Grão Investimentos,,1.4,Habilitador,2,0,2,0,0,0,0,0,1,0.518824,7,0,7
Embrapa,Embrapa,,1.8,Generador de Conocimiento,1,1,2,7,0.229607,0.26015,6.666667,2,0,0.015686,4,5,9
PUC-SP,PUC-SP,,0.6,Generador de Conocimiento,2,0,2,0,0,0,0,3,0.5,0.022416,4,0,4
Distrito,Distrito,,1.8,Habilitador,3,0,3,0,0,0,0,0,0,0.105938,9,0,9
USP,USP,,6.4,Generador de Conocimiento,11,0,11,0,0,0,0,3,0.036364,0.477254,33,0,33
CPS,CPS,,1.2,Habilitador,1,1,2,8,0.213483,0.254856,0,1,1,0.079943,3,3,6
Inova Unicamp,Inova Unicamp,,4,Habilitador,5,6,11,8,0.266667,0.35166,362.585714,1,0.111111,0.200832,21,18,39
SP Ventures,SP Ventures,,0.6,Habilitador,1,9,10,6,0.311475,0.390132,266.916667,2,0,0.033323,4,42,46
FACENS,FACENS,,0.2,Habilitador,2,0,2,0,0,0,0,3,0.5,0.022416,2,0,2
FGV,FGV,,2,Generador de Conocimiento,2,0,2,0,0,0,0,3,0,0.006212,6,0,6
Bank of America,Bank of America,,1.6,Habilitador,2,0,2,0,0,0,0,4,0,0.053302,8,0,8
AUSPIN,AUSPIN,,2.6,Habilitador,2,1,3,7,0.228228,0.259054,41.333333,2,0.166667,0.119099,8,5,13
ABDI,ABDI,,1.2,Articulador,2,0,2,0,0,0,0,5,1,0.273047,6,0,6
NEU,NEU,,1.2,Comunidad,2,0,2,0,0,0,0,5,0,0.036563,6,0,6
Finep,Finep,,4,Articulador,4,0,4,0,0,0,0,2,0.166667,0.267373,15,0,15
ABstartups,ABstartups,,3.6,Vinculador,5,7,12,6,0.302789,0.376316,967.038095,5,0.109091,0.707626,15,21,36
AMCHAM Brasil,AMCHAM Brasil,,2.8,Vinculador,3,5,8,7,0.258503,0.322431,161.25,1,0.071429,0.049842,7,16,23
WeWork,WeWork,,2.2,Habilitador,8,10,18,6,0.292308,0.394298,1097.378571,0,0.069853,1,32,36,68
Aliança Empreendedora,Aliança Empreendedora,,0.6,Habilitador,1,2,3,1,1,1,1,4,0.166667,0.003106,1,10,11
AgTech Garage,AgTech Garage,,1.8,Habilitador,1,1,2,7,0.239748,0.273966,236.916667,2,0,0.08934,5,4,9
UNICAMP,UNICAMP,,2.6,Generador de Conocimiento,3,0,3,0,0,0,0,1,0.333333,0.18048,13,0,13
Impact Hub,Impact Hub,,1.2,Habilitador,2,0,2,0,0,0,0,4,0,0.097571,6,0,6
Din4mo,Din4mo,,0.6,Habilitador,0,2,2,1,1,1,0,4,0,0,0,6,6
SENAI,SENAI,,1.2,Habilitador,2,0,2,0,0,0,0,2,0,0.042262,6,0,6
CPqD,CPqD,,1.2,Generador de Conocimiento,3,11,14,7,0.286792,0.385808,670.947619,1,0.032051,0.245723,10,46,56
Santander,Santander,,2.6,Habilitador,1,2,3,8,0.208108,0.246722,12.666667,1,0.166667,0.003106,5,6,11
Inovabra,Inovabra,,6.8,Habilitador,6,3,9,7,0.239748,0.307832,318.697619,0,0.097222,0.454267,19,13,32
MCTIC,MCTIC,,5.4,Articulador,8,0,8,0,0,0,0,1,0.053571,0.331136,27,0,27
IPEN,IPEN,,1.6,Generador de Conocimiento,2,0,2,0,0,0,0,2,0.5,0.042262,8,0,8
FAPESP,FAPESP,,4.6,Habilitador,4,0,4,0,0,0,0,2,0.166667,0.315993,18,0,18
Anjos do Brasil,Anjos do Brasil,,2.2,Vinculador,3,0,3,0,0,0,0,1,0,0.124424,11,0,11
Nós Innovators,Nós Innovators,,0.6,Habilitador,0,7,7,6,0.303502,0.375855,0,2,0.071429,0,0,23,23
Desenvolvimento Econômico SP,Desenvolvimento Econômico SP,,2,Articulador,2,0,2,0,0,0,0,2,0.5,0.261151,10,0,10
ICE,ICE,,1.4,Habilitador,2,0,2,0,0,0,0,4,0,0.054116,7,0,7
BNDES,BNDES,,5.4,Habilitador,6,0,6,0,0,0,0,2,0.1,0.885001,22,0,22
Endeavor,Endeavor,,4,Habilitador,2,2,4,7,0.231707,0.285025,154.769048,0,0.166667,0.21958,10,7,17
Monashees,Monashees,,0.6,Habilitador,0,3,3,1,1,1,0,5,0,0,0,9,9
IPT,IPT,,1.6,Generador de Conocimiento,2,0,2,0,0,0,0,2,0.5,0.261151,8,0,8
gA,gA,,2,Habilitador,1,1,2,8,0.203125,0.234982,0,1,0,0.009836,5,5,10
ACE,ACE,,1.6,Habilitador,1,1,2,9,0.173516,0.217434,19.833333,0,0,0.015686,4,4,8
Prefeitura de São Paulo,Prefeitura de São Paulo,,1,Articulador,0,6,6,9,0.170354,0.242574,0,3,0.166667,0,0,6,6
Baita Aceleradora,Baita Aceleradora,,2.2,Habilitador,1,2,3,8,0.238245,0.291573,4.5,1,0.666667,0.033265,3,8,11
Startup Farm,Startup Farm,,1.4,Habilitador,0,2,2,7,0.234756,0.302597,0,0,0,0,0,7,7
AUIN,AUIN,,0.6,Habilitador,0,5,5,8,0.238671,0.314346,0,2,0,0,0,17,17
PqTec,PqTec,,2.2,Habilitador,3,0,3,0,0,0,0,2,0,0.111965,11,0,11
Canary,Canary,,1.2,Habilitador,1,1,2,7,0.227545,0.271209,0,0,1,0.2185,3,3,6
Nexus,Nexus,,1.2,Habilitador,1,8,9,6,0.300395,0.378509,147.266667,5,0.053571,0.210748,3,26,29
ParqTec,ParqTec,,0.6,Habilitador,2,5,7,6,0.292308,0.354386,154,2,0.047619,0.057258,10,25,35
Portal StartSe,Portal StartSe,,1.2,Habilitador,2,0,2,0,0,0,0,1,0,0.07523,6,0,6
BNZ,BNZ,,1.2,Habilitador,2,0,2,0,0,0,0,0,1,0.518824,6,0,6
Orgânica Aceleradora,Orgânica Aceleradora,,1.2,Habilitador,2,0,2,0,0,0,0,0,1,0.518824,6,0,6
CNPq,CNPq,,2.6,Articulador,2,0,2,0,0,0,0,2,0,0.066464,8,0,8
ABVCAP,ABVCAP,,1.2,Vinculador,2,0,2,0,0,0,0,0,0,0.036563,6,0,6
