Country,Region,Development Stage,1.01 Ease of doing business (WB),1.02 Starting a business (WB),1.03 Paying taxes (WB),1.04 Resolving Insolvency (WB),1.05 Enforcing contracts (WB),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),2.01a Percentage of adults with a doctoral or equivalent level of education (OECD),2.01b Skillset of graduates (GCI 4.0),2.01c Ease of finding skilled employees (GCI 4.0),2.01d Researchers/Professionals engaged in R&D per million population (GII),"2.01e STEM Graduates per capita (OECD) - Natural sciences, mathematics and statistics",2.02a R&D expenditure as a % GDP (UNESCO),2.02b R&D expenditure in '000 current PPP$ (UNESCO),2.02c Public R&D Expenditure as % of GDP (UNESCO),2.02d Business R&D Expenditure as % GDP (UNESCO),2.03a Internet Bandwidth (GCI),2.03b Production Process Sophistication (GCI),2.03c Availability of latest technologies (GCI),2.03d ICT access (GII),2.04a Government procurement of advanced technology (GCI),2.04b University-industry research collaborations (GII),"2.04c Trade, Competition & Market scale (GII)",2.05a Research institutions prominence (GCI 4.0),2.05b Graduates in science & engineering (%) (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a VC investment (WEF),3.02b Financing of SME's (GCI 4.0),3.02c Venture Capital Availability (GCI 4.0),3.02d Ease of Credit (GII),3.02e VC deals (GII),3.02f Venture Capital Deal Volume (WEF),3.03a Logistics performance (WB),3.03b Electricity (GCI 4.0),3.03c ICT Adoption (GCI 4.0),3.04a Buyer sophistication (GCI 4.0),3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),3.05f Attitudes towards Entrepreneurial Risk (GCI 4.0),4.01 State of cluster development (GCI 4.0),4.02 Country capacity to attract and retain talent (WEF),5.01 Social Progress Index (SPI),5.02 Inclusive Development Index (IDI),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),"5.05 Carbon dioxide emissions per unit of GDP (SDG 9 - Industry, Innovation and Infrastructure)",5.06 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),5.07 Annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (SDG 11 - Sustainable Cities and Communities),5.08 Domestic material consumption per capita (SDG 12 - Responsible Consumption and Production),6.01 GDP per capita (IMF),6.02 Annual growth rate of real GDP per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Annual growth rate of GDP (WB),6.04 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.05 FDI inward flow as % of GDP (UNCTAD),GNI per capita (WB),SEDA Score (BCG),Power Distance Index (PDI),Individualism versus Collectivism (IDV),Masculinity versus Feminity (MAS),Uncertainty Avoidance Index (UAI),Long Term Orientation versus Short Term Normative Orientation (LTO),Indulgence versus Restraint (IVR)
China,East Asia and Pacific,Developing economies,77.9,94.1,70.1,62.1,80.9,60.9,46,64.4,72.4,39,NA,59.12,59.7,14.8,NA,2.18568,554327829.3,0.33,1.69,14.7,4.46,4.47,60,4.53,56.5,88.2,100,NA,67.35,40,19.5,57.17,56.97,60,19.5,212728.4,3.6,99.51,78.49,58.16,100,21.42,44.65,79.32,92.42,76.8,58.4,59.63,4.4,64.54,4.09,0.7,8.7,0.47,25.2,49.1579552,24.90287,9608.42,6.4,6.1,NA,1.02,10410,51.6,80,20,66,30,87,24
Colombia,Latin America and the Caribbean,Developing economies,70.1,87,58.6,71.4,34.3,61.1,46.1,78,81.2,36,NA,54.57,55.15,0.9,23.63948346,0.23699,1764862.99,0.02,0.11,150.87,3.68,4.41,61.3,3.2,41.9,70.2,12.77,40.9,72.37,47.5,13.2,48.02,35.87,95,1.1,4176.9,2.81,95.86,49.89,38.46,65.2,35.47,32.69,63.82,65.42,71.3,48.08,43.2,3.3,70.31,4.01,3.9,6.5,0.14,13.1,15.2439661,5.87199,6684.44,0.91,3.3,8.9,3.33,6510,47.5,67,13,64,80,13,83
Costa Rica,Latin America and the Caribbean,Developing economies,69.2,79.9,78,34.6,55.2,66.7,57.2,55,81.4,56,0.13,65.03,63.48,6.3,14.39941046,0.42336,355751.99,0.06,0.13,68.45,4.53,5.14,65.6,2.77,45.1,62.4,1.15,15,NA,43.7,4.9,43.28,28.23,85,NA,265,2.74,96.41,59.97,46.85,43.4,NA,NA,NA,NA,66.5,50.18,47.91,4.2,80.65,4.32,1,4.4,0.1,5.5,15.8539238,7.51171,11744.44,2.17,2.1,8.1,3.59,11700,58.2,35,15,21,86,NA,NA
Croatia,Europe and Central Asia,Developed economies,73.6,85.3,81.8,56.5,70.6,69.9,51,44,86.4,48,NA,39.19,35.89,22.5,NA,0.97489,1096536.37,0.19,0.47,118.95,3.7,4.78,75.8,2.28,27.7,59.2,3.33,45.5,71.19,53.1,9.4,41.08,27.12,55,4.5,488.1,3.12,96.96,60.69,31.17,45.4,20.57,50.66,61.49,46.45,53.6,33.7,30.71,1.9,79.21,4.48,0.7,2.5,0.19,NA,17.0294819,6.21104,14815.91,3.51,2.9,11.2,1.91,14910,64.6,73,33,40,80,58,33
Cyprus,Europe and Central Asia,Developed economies,73.4,92,85.5,72.5,48.6,77.4,57.6,59.7,86.4,59,NA,62.96,62.25,14.1,NA,0.55859,183574.47,0.05,0.21,188.9,3.99,4.76,79.7,3.08,39.2,57.7,3,19.2,58.16,47.2,125.8,47.43,27.91,60,14.9,2628,3.1,99.28,62.04,49.95,32.4,21.2,36.4,72.96,76.69,76.6,55.27,48.21,3.5,83.14,NA,0,4.6,0.24,NA,16.7887688,9.72696,28339.93,3.4,3.2,11.1,13.48,27710,66.2,NA,NA,NA,NA,NA,70
Czech Republic,Europe and Central Asia,Developed economies,76.3,82.1,81.4,80.1,56.4,76.8,64.2,77.6,86.4,59,0.7,56.95,37.47,44.6,25.65811946,1.92829,8143249.58,0.32,1.19,180.7,4.76,5.61,71.9,2.97,50.9,71.5,22.77,40.3,NA,50.1,27.7,56.53,46.62,70,1.1,5412.7,3.62,99.15,68.38,35.4,58.8,NA,NA,NA,NA,69.7,45.66,46.83,3.5,84.36,5.09,0,2.5,0.31,NA,15.1494427,16.8916,22850.32,4.21,2.6,2.9,3.92,22000,71.9,57,58,57,74,70,29
Denmark,Europe and Central Asia,Developed economies,85.3,92.7,91.1,85.1,73.9,86.3,93,86.2,86.4,88,1.38,71.02,65.39,96,20.47056616,3.06408,9788767.94,0.09,1.97,239.87,5.79,6.04,82.5,3.65,64,68.2,16.76,33.4,NA,63.9,49.1,60.55,46.5,70,38,15700.8,3.92,99.33,83.3,53.07,56,NA,NA,NA,NA,88.7,57.73,67.09,4.4,90.09,5.81,0.2,2.5,0.13,NA,10.1248894,15.64763,60692.42,1.88,2.4,5.7,0.51,63240,84.1,18,74,16,23,35,70
Dominican Republic,Latin America and the Caribbean,Developing economies,60,85.4,57.4,38,50.6,55.8,31.2,57.5,76.6,30,NA,47.04,51.89,NA,NA,NA,NA,NA,NA,22.06,3.54,4.73,46.1,2.6,31.8,62.3,0,7,NA,47.1,1.6,51.17,36.47,45,NA,109.4,2.68,94.22,51.79,37.7,51.3,NA,NA,NA,NA,50.3,54.77,50.2,3.1,67.15,4.19,1.6,10.4,0.15,12.1,12.948597,5.24744,7880.55,3.4,5.1,5.8,3.16,8090,47,NA,NA,NA,NA,13,54
Ecuador,Latin America and the Caribbean,Developing economies,57.7,69.1,58.6,25.5,57.5,40.4,33.4,48,66,34,NA,50.99,52.68,4.7,NA,NA,NA,NA,NA,43.68,3.29,4.26,51,2.81,34.5,58.5,4.43,19,78.28,35.6,5.4,44.31,27.83,45,NA,539,2.82,93.98,47.62,32.89,51.9,42.5,35.11,72.26,71.88,53.8,45.07,39.04,3,71.88,NA,3.2,7.8,0.21,36,14.9095402,8.08906,6315.5,1.51,0.1,NA,1.3,6080,48,78,8,63,67,NA,NA
"Egypt, Arab Rep.",Middle East and North Africa,Developing economies,60.1,87.8,55.1,42.2,40,48.5,34,51.5,70.2,35,NA,35.35,50.25,8,NA,0.72388,8827838.56,0.2,0.03,17.19,3.78,4.33,55.6,3.39,30,66.4,14.83,6.2,67.26,26.8,10,54.17,34.55,65,1.5,3248,2.95,95.79,40.57,39.04,70.6,61.58,54.79,79.97,86.15,62,41.77,63.59,2.7,61.71,2.84,1.3,4.8,0.21,10.6,79.2780685,7.84763,2573.29,2.19,5.6,11.7,2.72,2690,40.6,NA,NA,NA,NA,7,4
El Salvador,Latin America and the Caribbean,Developing economies,65.3,78.6,77.5,45.6,51.9,41.6,31.6,52.3,80.8,35,NA,42.56,46.52,0.6,NA,0.18115,92261.3,0.07,0.06,63.62,3.39,4.16,48.3,2.35,27.6,59.2,0,37,NA,22.2,21.1,44.31,26.12,80,NA,548.5,2.66,93.43,40.64,32.4,37.9,NA,NA,NA,NA,53.6,47.44,32.13,2.4,64.65,3.96,1.9,10.3,0.14,28.9,23.4244614,4.15259,3923.71,1.79,2.4,4.4,3.24,4000,43,66,19,40,94,20,89
Estonia,Europe and Central Asia,Developed economies,80.6,95.4,89.9,60.1,76.1,83.2,85.9,57.3,86.4,73,0.74,62.49,42.18,43.2,27.46053401,1.42515,667335.86,0.16,0.6,210.8,4.18,5.73,81.6,3.49,46.4,60.2,2.85,51.5,NA,56.2,12.2,54.51,47.1,70,28.6,292.8,3.3,98.37,78.77,46.52,35.6,NA,NA,NA,NA,73.5,53.04,43.89,3.4,83.98,4.74,0.5,2.8,0.47,NA,6.74275303,35.03456,22989.94,5.08,4.3,5.8,4.44,23220,71.5,40,60,30,60,82,16
Ethiopia,Sub-Saharan Africa,Least developed countries,48,71.7,63.3,30.3,62.8,36.5,29.4,57.6,60.8,34,NA,37.18,44.02,0.4,NA,0.27441,553936.01,0.18,0.01,2.24,3.28,3.56,22.5,3.55,43.9,45.8,2.74,NA,NA,5.8,3.6,39.06,38.25,15,NA,233.9,2.4,65.52,20.12,63.68,52.9,NA,NA,NA,NA,48.6,40.96,37.68,3.4,45.41,NA,27.3,21.4,0.07,73.9,34.3611145,3.1745,852.774,8.41,8.3,2.3,4.14,850,26,NA,NA,NA,NA,NA,46
Finland,Europe and Central Asia,Developed economies,80.2,93.5,90.9,92.7,66.4,92.3,96.1,50.3,86.4,85,1.23,76.97,69.96,81.3,29.53126672,2.77381,7336203.44,0.23,1.82,216.39,6.13,6.61,73.9,4.04,74.7,65.2,17.58,57.3,NA,68.6,74.1,74.88,68.81,65,38.4,18310.3,3.92,100,80.39,61.09,54.5,NA,NA,NA,NA,84.8,52.19,64.05,4.4,89.56,5.33,0,2.5,0.21,NA,5.8829689,24.70778,49845.02,2.42,1,8.6,0.45,49580,84,33,63,26,59,38,57
France,Europe and Central Asia,Developed economies,76.8,93.1,79.2,74.6,73.5,85.9,83.3,46.1,81.4,72,0.88,61.45,59.63,53.8,25.57022358,2.20002,66822714.16,0.28,1.44,97.65,5.59,6.03,83.4,3.62,54.6,81.9,100,46.2,37.46,50.7,42,54.78,53.72,50,56.9,108406.6,3.86,98.36,73.66,55.72,78.8,18.6,37.08,58.21,71.52,82.5,52.94,62.08,3.4,87.79,5.05,0,2.5,0.12,NA,11.6362991,11.9458,42877.56,1.74,1.5,9.4,1.34,42400,76.1,68,71,43,86,63,48
Georgia,Europe and Central Asia,Economies in transition,83.7,99.6,89.2,56.2,75,68.6,64.8,76.3,88.6,58,NA,39.79,42.74,16.1,NA,0.30457,129778.47,0.07,NA,92.15,3.47,3.97,72.1,3.22,32,57.4,1.89,35.9,NA,45.2,65.5,46.01,26.28,85,NA,978.9,2.45,98.53,63.73,37.19,35.3,NA,NA,NA,NA,85.3,52.43,34.81,2.9,71.34,3.99,5,7.4,0.26,NA,21.1968346,6.76727,4400.38,5.19,5.1,13.9,7.51,4740,55.4,NA,NA,NA,NA,38,32
Germany,Europe and Central Asia,Developed economies,79.7,83.7,82.2,89.8,74.1,80.5,82.8,53,86.4,80,1.39,68.36,65.06,61,36.11362457,3.09415,137880026.2,0.42,2.13,107.49,5.9,6.07,90.3,4.89,72.8,82.9,100,75.5,45.79,53.8,41.7,67.55,63.42,70,20,148885.3,4.19,99.84,69.98,62.24,82.7,9.12,29.68,53.64,80.68,82.8,62.69,73.48,5.1,88.84,5.27,0,2.5,0.21,NA,11.7104406,14.67891,48264.01,1.91,0.6,3.8,0.64,48520,81.5,35,67,66,65,83,40
Ghana,Sub-Saharan Africa,Developing economies,60,85,56,25.4,54,52.5,32.2,59.3,63.8,41,NA,54.5,60.08,0.3,NA,NA,NA,NA,NA,9.85,3.69,4.13,45.6,3.73,47.3,50.3,1.53,12.2,NA,12.3,2.7,46.14,30.62,60,1.5,106.9,2.6,81.81,49.09,41.51,48.6,NA,NA,NA,NA,58.4,49.05,49.48,3.9,61.75,3.34,13.3,6.1,0.12,37.9,31.9471893,6.94083,2205.8,5.79,6.5,6.8,4.55,2220,38.3,NA,NA,NA,NA,4,72
Greece,Europe and Central Asia,Developed economies,68.4,96,77.1,53.1,48.1,57,51.2,52,81.4,45,0.65,55.8,54.47,38.1,28.16142087,1.17732,3737458.28,0.26,0.57,68.7,4,4.85,79.8,2.49,25.6,67.7,16.15,53.5,51.64,100,16.3,26.69,21.32,50,2.2,3390.6,3.19,98.82,64.72,38.62,56.4,12.43,40.62,49.56,49.33,73.7,46.55,31.85,2.2,82.48,3.7,1.5,2.5,0.25,NA,15.6877098,10.02498,20407.88,1.72,1.9,21.5,1.95,20320,63.8,60,35,57,100,45,50
Guatemala,Latin America and the Caribbean,Developing economies,62.6,86.8,70.3,27.6,34.5,45.5,29.6,48.4,82.2,27,NA,51.01,52.64,0.1,NA,0.028,38679.06,NA,NA,24.02,4.08,5.04,48.7,2.6,41.6,65.5,0,2,77.42,16.7,1.9,51.87,35.65,80,NA,121.2,2.51,91.79,37.73,38.96,48.6,52.21,39.64,94.5,80.8,62.6,60.28,44.25,3.5,59.67,3.7,8.7,15.8,0.14,38.7,23.585619,5.023,4575.08,0.75,3.8,2.8,1.34,4610,39.2,95,6,37,98,NA,NA
Honduras,Latin America and the Caribbean,Developing economies,56.3,71.4,49.9,32.6,44.2,48.6,28.6,31.5,79.4,29,NA,50.14,50.52,0.1,NA,0.04,18544.56,0.02,NA,33.44,3.36,4.4,40.7,2.81,37.9,56.9,0,15.9,NA,15.9,0.2,49.62,32.78,85,NA,4.8,2.56,81.02,30.17,36.33,36.8,NA,NA,NA,NA,56.7,56.1,46.04,3.1,60.31,3.61,17.2,15.3,0.23,27.5,20.1216755,4.01835,2521.17,3.06,2.7,4.1,5.15,2390,38.1,NA,NA,NA,NA,NA,NA
